# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 315, mean track length: 2
79 -1.0368652693137304 7.0042250890181048 28.497070784262185 214 196 63 0.14139534336125748 31 202 30 149
80 0.71911019274319377 4.9035182041329559 30.14942314159391 150 43 12 0.27632819350724025 31 122 30 150
81 -1.6678724922266042 7.3574586912680919 29.884300761818984 191 119 45 0.14653590705825859 31 149 30 156
82 -0.058991018345334857 3.968705097429539 31.765163968803758 71 41 41 1.1432609029698511 31 89 30 159
83 -0.54406334013210078 7.0463354219697791 28.015358510254327 115 75 74 0.011659080260091373 31 265 30 160
84 -1.1412015045840092 6.346399256623358 29.481973560571408 77 36 32 0.064745833218379345 31 209 30 164
85 -0.036702050121007114 4.7251021421400203 30.913102148270493 220 201 55 0.020700439989599848 31 170 30 167
86 -1.6482526073745065 5.7768238757645261 30.508363677658398 108 110 41 0.079661944518494621 31 212 30 168
87 -1.7768212635590739 5.5518668747282005 30.998154504950591 101 117 77 0.73331947524500174 31 154 30 171
88 0.18260974322260998 4.640798567450755 30.757221329604658 98 48 40 0.06906440087573909 31 119 30 177
89 2.5567332276251507 4.4905501507527124 31.290494537048389 214 175 92 0.32659349255808701 31 100 30 180
90 -1.22951071120574 6.5713721152655138 29.231895223582878 105 108 38 0.083847140776234688 31 200 30 187
91 0.58305251990614648 4.678197706767925 30.526693297205952 48 10 4 0.087361967818030128 31 120 30 189
92 2.5567332276251507 4.4905501507527124 31.290494537048389 214 175 92 0.32659349255808701 31 88 30 194
93 -0.8489052469557582 4.4293871917136407 32.213410850872478 228 194 84 0.56961306009311297 31 167 30 197
94 0.029759580862734523 4.0705227517170943 31.552076178454346 209 195 91 0.034054104796841587 31 183 30 199
95 0.80573379083592767 6.5502031448176341 28.448478195853806 92 92 84 0.86868083836733012 31 401 30 200
